,Unnamed: 0,Institute,Academic Program Name,Quota,Seat Type,Gender,Opening Rank,Closing Rank,Year,Round,Type
6987,7080,NIT Tiruchirappalli,Architecture (5 Years Bachelor of Architecture),HS,OPEN,Gender-Neutral,296,797,2022,1,2
6997,7090,NIT Tiruchirappalli,Architecture (5 Years Bachelor of Architecture),OS,OPEN,Gender-Neutral,42,234,2022,1,2
7008,7101,NIT Tiruchirappalli,Chemical Engineering (4 Years Bachelor of Technology),HS,OPEN,Gender-Neutral,10462,21206,2022,1,2
7019,7112,NIT Tiruchirappalli,Chemical Engineering (4 Years Bachelor of Technology),OS,OPEN,Gender-Neutral,8691,12165,2022,1,2
7030,7123,NIT Tiruchirappalli,Civil Engineering (4 Years Bachelor of Technology),HS,OPEN,Gender-Neutral,17581,29506,2022,1,2
7043,7136,NIT Tiruchirappalli,Civil Engineering (4 Years Bachelor of Technology),OS,OPEN,Gender-Neutral,2826,16600,2022,1,2
7056,7149,NIT Tiruchirappalli,Computer Science and Engineering (4 Years Bachelor of Technology),HS,OPEN,Gender-Neutral,1528,3730,2022,1,2
7069,7162,NIT Tiruchirappalli,Computer Science and Engineering (4 Years Bachelor of Technology),OS,OPEN,Gender-Neutral,96,759,2022,1,2
7081,7174,NIT Tiruchirappalli,Electrical and Electronics Engineering (4 Years Bachelor of Technology),HS,OPEN,Gender-Neutral,4515,9847,2022,1,2
7093,7186,NIT Tiruchirappalli,Electrical and Electronics Engineering (4 Years Bachelor of Technology),OS,OPEN,Gender-Neutral,2180,5604,2022,1,2
7106,7199,NIT Tiruchirappalli,Electronics and Communication Engineering (4 Years Bachelor of Technology),HS,OPEN,Gender-Neutral,3831,7437,2022,1,2
7117,7210,NIT Tiruchirappalli,Electronics and Communication Engineering (4 Years Bachelor of Technology),OS,OPEN,Gender-Neutral,1447,3288,2022,1,2
7130,7223,NIT Tiruchirappalli,Instrumentation and Control Engineering (4 Years Bachelor of Technology),HS,OPEN,Gender-Neutral,11299,15473,2022,1,2
7141,7234,NIT Tiruchirappalli,Instrumentation and Control Engineering (4 Years Bachelor of Technology),OS,OPEN,Gender-Neutral,8107,12435,2022,1,2
7153,7246,NIT Tiruchirappalli,Mechanical Engineering (4 Years Bachelor of Technology),HS,OPEN,Gender-Neutral,10095,13933,2022,1,2
7166,7259,NIT Tiruchirappalli,Mechanical Engineering (4 Years Bachelor of Technology),OS,OPEN,Gender-Neutral,4198,8445,2022,1,2
7179,7272,NIT Tiruchirappalli,Metallurgical and Materials Engineering (4 Years Bachelor of Technology),HS,OPEN,Gender-Neutral,19886,29036,2022,1,2
7190,7283,NIT Tiruchirappalli,Metallurgical and Materials Engineering (4 Years Bachelor of Technology),OS,OPEN,Gender-Neutral,12960,19721,2022,1,2
7201,7294,NIT Tiruchirappalli,Production Engineering (4 Years Bachelor of Technology),HS,OPEN,Gender-Neutral,15671,23587,2022,1,2
7213,7306,NIT Tiruchirappalli,Production Engineering (4 Years Bachelor of Technology),OS,OPEN,Gender-Neutral,14374,20743,2022,1,2
16796,16981,NIT Tiruchirappalli,Architecture (5 Years Bachelor of Architecture),HS,OPEN,Gender-Neutral,296,797,2022,2,2
16805,16990,NIT Tiruchirappalli,Architecture (5 Years Bachelor of Architecture),OS,OPEN,Gender-Neutral,162,248,2022,2,2
16815,17000,NIT Tiruchirappalli,Chemical Engineering (4 Years Bachelor of Technology),HS,OPEN,Gender-Neutral,10462,21225,2022,2,2
16826,17011,NIT Tiruchirappalli,Chemical Engineering (4 Years Bachelor of Technology),OS,OPEN,Gender-Neutral,8691,13375,2022,2,2
16837,17022,NIT Tiruchirappalli,Civil Engineering (4 Years Bachelor of Technology),HS,OPEN,Gender-Neutral,21532,36188,2022,2,2
16850,17035,NIT Tiruchirappalli,Civil Engineering (4 Years Bachelor of Technology),OS,OPEN,Gender-Neutral,2826,18326,2022,2,2
16863,17048,NIT Tiruchirappalli,Computer Science and Engineering (4 Years Bachelor of Technology),HS,OPEN,Gender-Neutral,1528,3868,2022,2,2
16876,17061,NIT Tiruchirappalli,Computer Science and Engineering (4 Years Bachelor of Technology),OS,OPEN,Gender-Neutral,241,759,2022,2,2
16888,17073,NIT Tiruchirappalli,Electrical and Electronics Engineering (4 Years Bachelor of Technology),HS,OPEN,Gender-Neutral,8353,11350,2022,2,2
16900,17085,NIT Tiruchirappalli,Electrical and Electronics Engineering (4 Years Bachelor of Technology),OS,OPEN,Gender-Neutral,4157,5928,2022,2,2
16913,17098,NIT Tiruchirappalli,Electronics and Communication Engineering (4 Years Bachelor of Technology),HS,OPEN,Gender-Neutral,4080,8252,2022,2,2
16924,17109,NIT Tiruchirappalli,Electronics and Communication Engineering (4 Years Bachelor of Technology),OS,OPEN,Gender-Neutral,1581,3522,2022,2,2
16937,17122,NIT Tiruchirappalli,Instrumentation and Control Engineering (4 Years Bachelor of Technology),HS,OPEN,Gender-Neutral,11951,16804,2022,2,2
16948,17133,NIT Tiruchirappalli,Instrumentation and Control Engineering (4 Years Bachelor of Technology),OS,OPEN,Gender-Neutral,8107,13352,2022,2,2
16960,17145,NIT Tiruchirappalli,Mechanical Engineering (4 Years Bachelor of Technology),HS,OPEN,Gender-Neutral,10395,15835,2022,2,2
16973,17158,NIT Tiruchirappalli,Mechanical Engineering (4 Years Bachelor of Technology),OS,OPEN,Gender-Neutral,4842,9593,2022,2,2
16986,17171,NIT Tiruchirappalli,Metallurgical and Materials Engineering (4 Years Bachelor of Technology),HS,OPEN,Gender-Neutral,22713,32381,2022,2,2
16997,17182,NIT Tiruchirappalli,Metallurgical and Materials Engineering (4 Years Bachelor of Technology),OS,OPEN,Gender-Neutral,16011,20619,2022,2,2
17007,17192,NIT Tiruchirappalli,Production Engineering (4 Years Bachelor of Technology),HS,OPEN,Gender-Neutral,17993,26317,2022,2,2
17019,17204,NIT Tiruchirappalli,Production Engineering (4 Years Bachelor of Technology),OS,OPEN,Gender-Neutral,14374,24590,2022,2,2
26501,26777,NIT Tiruchirappalli,Architecture (5 Years Bachelor of Architecture),HS,OPEN,Gender-Neutral,296,797,2022,3,2
26510,26786,NIT Tiruchirappalli,Architecture (5 Years Bachelor of Architecture),OS,OPEN,Gender-Neutral,162,248,2022,3,2
26520,26796,NIT Tiruchirappalli,Chemical Engineering (4 Years Bachelor of Technology),HS,OPEN,Gender-Neutral,10462,21225,2022,3,2
26531,26807,NIT Tiruchirappalli,Chemical Engineering (4 Years Bachelor of Technology),OS,OPEN,Gender-Neutral,8691,13375,2022,3,2
26542,26818,NIT Tiruchirappalli,Civil Engineering (4 Years Bachelor of Technology),HS,OPEN,Gender-Neutral,21532,36237,2022,3,2
26555,26831,NIT Tiruchirappalli,Civil Engineering (4 Years Bachelor of Technology),OS,OPEN,Gender-Neutral,2826,18601,2022,3,2
26568,26844,NIT Tiruchirappalli,Computer Science and Engineering (4 Years Bachelor of Technology),HS,OPEN,Gender-Neutral,1528,3868,2022,3,2
26581,26857,NIT Tiruchirappalli,Computer Science and Engineering (4 Years Bachelor of Technology),OS,OPEN,Gender-Neutral,241,858,2022,3,2
26593,26869,NIT Tiruchirappalli,Electrical and Electronics Engineering (4 Years Bachelor of Technology),HS,OPEN,Gender-Neutral,8353,11350,2022,3,2
26605,26881,NIT Tiruchirappalli,Electrical and Electronics Engineering (4 Years Bachelor of Technology),OS,OPEN,Gender-Neutral,4157,5928,2022,3,2
26618,26894,NIT Tiruchirappalli,Electronics and Communication Engineering (4 Years Bachelor of Technology),HS,OPEN,Gender-Neutral,4132,8338,2022,3,2
26629,26905,NIT Tiruchirappalli,Electronics and Communication Engineering (4 Years Bachelor of Technology),OS,OPEN,Gender-Neutral,1581,3522,2022,3,2
26642,26918,NIT Tiruchirappalli,Instrumentation and Control Engineering (4 Years Bachelor of Technology),HS,OPEN,Gender-Neutral,11951,16804,2022,3,2
26653,26929,NIT Tiruchirappalli,Instrumentation and Control Engineering (4 Years Bachelor of Technology),OS,OPEN,Gender-Neutral,8107,13352,2022,3,2
26665,26941,NIT Tiruchirappalli,Mechanical Engineering (4 Years Bachelor of Technology),HS,OPEN,Gender-Neutral,10395,15835,2022,3,2
26678,26954,NIT Tiruchirappalli,Mechanical Engineering (4 Years Bachelor of Technology),OS,OPEN,Gender-Neutral,4842,9593,2022,3,2
26691,26967,NIT Tiruchirappalli,Metallurgical and Materials Engineering (4 Years Bachelor of Technology),HS,OPEN,Gender-Neutral,22713,32381,2022,3,2
26702,26978,NIT Tiruchirappalli,Metallurgical and Materials Engineering (4 Years Bachelor of Technology),OS,OPEN,Gender-Neutral,16011,20619,2022,3,2
26712,26988,NIT Tiruchirappalli,Production Engineering (4 Years Bachelor of Technology),HS,OPEN,Gender-Neutral,17993,26326,2022,3,2
26724,27000,NIT Tiruchirappalli,Production Engineering (4 Years Bachelor of Technology),OS,OPEN,Gender-Neutral,14374,24590,2022,3,2
36183,36550,NIT Tiruchirappalli,Architecture (5 Years Bachelor of Architecture),HS,OPEN,Gender-Neutral,296,797,2022,4,2
36192,36559,NIT Tiruchirappalli,Architecture (5 Years Bachelor of Architecture),OS,OPEN,Gender-Neutral,162,248,2022,4,2
36202,36569,NIT Tiruchirappalli,Chemical Engineering (4 Years Bachelor of Technology),HS,OPEN,Gender-Neutral,10462,21225,2022,4,2
36213,36580,NIT Tiruchirappalli,Chemical Engineering (4 Years Bachelor of Technology),OS,OPEN,Gender-Neutral,8691,13375,2022,4,2
36224,36591,NIT Tiruchirappalli,Civil Engineering (4 Years Bachelor of Technology),HS,OPEN,Gender-Neutral,21532,36237,2022,4,2
36237,36604,NIT Tiruchirappalli,Civil Engineering (4 Years Bachelor of Technology),OS,OPEN,Gender-Neutral,2826,18601,2022,4,2
36250,36617,NIT Tiruchirappalli,Computer Science and Engineering (4 Years Bachelor of Technology),HS,OPEN,Gender-Neutral,1528,3868,2022,4,2
36263,36630,NIT Tiruchirappalli,Computer Science and Engineering (4 Years Bachelor of Technology),OS,OPEN,Gender-Neutral,241,858,2022,4,2
36275,36642,NIT Tiruchirappalli,Electrical and Electronics Engineering (4 Years Bachelor of Technology),HS,OPEN,Gender-Neutral,8353,11350,2022,4,2
36287,36654,NIT Tiruchirappalli,Electrical and Electronics Engineering (4 Years Bachelor of Technology),OS,OPEN,Gender-Neutral,4157,5965,2022,4,2
36300,36667,NIT Tiruchirappalli,Electronics and Communication Engineering (4 Years Bachelor of Technology),HS,OPEN,Gender-Neutral,4132,8338,2022,4,2
36311,36678,NIT Tiruchirappalli,Electronics and Communication Engineering (4 Years Bachelor of Technology),OS,OPEN,Gender-Neutral,1581,3522,2022,4,2
36324,36691,NIT Tiruchirappalli,Instrumentation and Control Engineering (4 Years Bachelor of Technology),HS,OPEN,Gender-Neutral,11951,16804,2022,4,2
36335,36702,NIT Tiruchirappalli,Instrumentation and Control Engineering (4 Years Bachelor of Technology),OS,OPEN,Gender-Neutral,8107,13352,2022,4,2
36347,36714,NIT Tiruchirappalli,Mechanical Engineering (4 Years Bachelor of Technology),HS,OPEN,Gender-Neutral,10395,15835,2022,4,2
36360,36727,NIT Tiruchirappalli,Mechanical Engineering (4 Years Bachelor of Technology),OS,OPEN,Gender-Neutral,4842,9593,2022,4,2
36373,36740,NIT Tiruchirappalli,Metallurgical and Materials Engineering (4 Years Bachelor of Technology),HS,OPEN,Gender-Neutral,22713,32381,2022,4,2
36384,36751,NIT Tiruchirappalli,Metallurgical and Materials Engineering (4 Years Bachelor of Technology),OS,OPEN,Gender-Neutral,16011,20619,2022,4,2
36394,36761,NIT Tiruchirappalli,Production Engineering (4 Years Bachelor of Technology),HS,OPEN,Gender-Neutral,17993,26326,2022,4,2
36406,36773,NIT Tiruchirappalli,Production Engineering (4 Years Bachelor of Technology),OS,OPEN,Gender-Neutral,14374,24751,2022,4,2
45856,46314,NIT Tiruchirappalli,Architecture (5 Years Bachelor of Architecture),HS,OPEN,Gender-Neutral,296,797,2022,5,2
45865,46323,NIT Tiruchirappalli,Architecture (5 Years Bachelor of Architecture),OS,OPEN,Gender-Neutral,162,248,2022,5,2
45875,46333,NIT Tiruchirappalli,Chemical Engineering (4 Years Bachelor of Technology),HS,OPEN,Gender-Neutral,10462,21225,2022,5,2
45886,46344,NIT Tiruchirappalli,Chemical Engineering (4 Years Bachelor of Technology),OS,OPEN,Gender-Neutral,8691,13375,2022,5,2
45897,46355,NIT Tiruchirappalli,Civil Engineering (4 Years Bachelor of Technology),HS,OPEN,Gender-Neutral,21532,36321,2022,5,2
45910,46368,NIT Tiruchirappalli,Civil Engineering (4 Years Bachelor of Technology),OS,OPEN,Gender-Neutral,2826,18601,2022,5,2
45923,46381,NIT Tiruchirappalli,Computer Science and Engineering (4 Years Bachelor of Technology),HS,OPEN,Gender-Neutral,1528,3868,2022,5,2
45936,46394,NIT Tiruchirappalli,Computer Science and Engineering (4 Years Bachelor of Technology),OS,OPEN,Gender-Neutral,241,879,2022,5,2
45948,46406,NIT Tiruchirappalli,Electrical and Electronics Engineering (4 Years Bachelor of Technology),HS,OPEN,Gender-Neutral,8353,11350,2022,5,2
45960,46418,NIT Tiruchirappalli,Electrical and Electronics Engineering (4 Years Bachelor of Technology),OS,OPEN,Gender-Neutral,4157,6141,2022,5,2
45973,46431,NIT Tiruchirappalli,Electronics and Communication Engineering (4 Years Bachelor of Technology),HS,OPEN,Gender-Neutral,4132,8338,2022,5,2
45984,46442,NIT Tiruchirappalli,Electronics and Communication Engineering (4 Years Bachelor of Technology),OS,OPEN,Gender-Neutral,1581,3522,2022,5,2
45997,46455,NIT Tiruchirappalli,Instrumentation and Control Engineering (4 Years Bachelor of Technology),HS,OPEN,Gender-Neutral,11951,16804,2022,5,2
46008,46466,NIT Tiruchirappalli,Instrumentation and Control Engineering (4 Years Bachelor of Technology),OS,OPEN,Gender-Neutral,8107,13416,2022,5,2
46020,46478,NIT Tiruchirappalli,Mechanical Engineering (4 Years Bachelor of Technology),HS,OPEN,Gender-Neutral,10395,15835,2022,5,2
46033,46491,NIT Tiruchirappalli,Mechanical Engineering (4 Years Bachelor of Technology),OS,OPEN,Gender-Neutral,4842,9593,2022,5,2
46046,46504,NIT Tiruchirappalli,Metallurgical and Materials Engineering (4 Years Bachelor of Technology),HS,OPEN,Gender-Neutral,22713,32381,2022,5,2
46057,46515,NIT Tiruchirappalli,Metallurgical and Materials Engineering (4 Years Bachelor of Technology),OS,OPEN,Gender-Neutral,16011,20672,2022,5,2
46067,46525,NIT Tiruchirappalli,Production Engineering (4 Years Bachelor of Technology),HS,OPEN,Gender-Neutral,17993,26326,2022,5,2
46079,46537,NIT Tiruchirappalli,Production Engineering (4 Years Bachelor of Technology),OS,OPEN,Gender-Neutral,14374,25021,2022,5,2
55506,56059,NIT Tiruchirappalli,Architecture (5 Years Bachelor of Architecture),HS,OPEN,Gender-Neutral,296,797,2022,6,2
55515,56068,NIT Tiruchirappalli,Architecture (5 Years Bachelor of Architecture),OS,OPEN,Gender-Neutral,162,248,2022,6,2
55525,56078,NIT Tiruchirappalli,Chemical Engineering (4 Years Bachelor of Technology),HS,OPEN,Gender-Neutral,10462,21225,2022,6,2
55536,56089,NIT Tiruchirappalli,Chemical Engineering (4 Years Bachelor of Technology),OS,OPEN,Gender-Neutral,8691,15269,2022,6,2
55547,56100,NIT Tiruchirappalli,Civil Engineering (4 Years Bachelor of Technology),HS,OPEN,Gender-Neutral,21532,37038,2022,6,2
55560,56113,NIT Tiruchirappalli,Civil Engineering (4 Years Bachelor of Technology),OS,OPEN,Gender-Neutral,2826,19611,2022,6,2
55573,56126,NIT Tiruchirappalli,Computer Science and Engineering (4 Years Bachelor of Technology),HS,OPEN,Gender-Neutral,1528,4080,2022,6,2
55586,56139,NIT Tiruchirappalli,Computer Science and Engineering (4 Years Bachelor of Technology),OS,OPEN,Gender-Neutral,241,996,2022,6,2
55598,56151,NIT Tiruchirappalli,Electrical and Electronics Engineering (4 Years Bachelor of Technology),HS,OPEN,Gender-Neutral,9478,12142,2022,6,2
55610,56163,NIT Tiruchirappalli,Electrical and Electronics Engineering (4 Years Bachelor of Technology),OS,OPEN,Gender-Neutral,4157,6636,2022,6,2
55623,56176,NIT Tiruchirappalli,Electronics and Communication Engineering (4 Years Bachelor of Technology),HS,OPEN,Gender-Neutral,4132,8392,2022,6,2
55634,56187,NIT Tiruchirappalli,Electronics and Communication Engineering (4 Years Bachelor of Technology),OS,OPEN,Gender-Neutral,1581,3691,2022,6,2
55647,56200,NIT Tiruchirappalli,Instrumentation and Control Engineering (4 Years Bachelor of Technology),HS,OPEN,Gender-Neutral,12561,17704,2022,6,2
55658,56211,NIT Tiruchirappalli,Instrumentation and Control Engineering (4 Years Bachelor of Technology),OS,OPEN,Gender-Neutral,8107,13820,2022,6,2
55670,56223,NIT Tiruchirappalli,Mechanical Engineering (4 Years Bachelor of Technology),HS,OPEN,Gender-Neutral,10395,16341,2022,6,2
55683,56236,NIT Tiruchirappalli,Mechanical Engineering (4 Years Bachelor of Technology),OS,OPEN,Gender-Neutral,4842,10181,2022,6,2
55696,56249,NIT Tiruchirappalli,Metallurgical and Materials Engineering (4 Years Bachelor of Technology),HS,OPEN,Gender-Neutral,22713,33757,2022,6,2
55707,56260,NIT Tiruchirappalli,Metallurgical and Materials Engineering (4 Years Bachelor of Technology),OS,OPEN,Gender-Neutral,16011,22850,2022,6,2
55717,56270,NIT Tiruchirappalli,Production Engineering (4 Years Bachelor of Technology),HS,OPEN,Gender-Neutral,17993,27154,2022,6,2
55729,56282,NIT Tiruchirappalli,Production Engineering (4 Years Bachelor of Technology),OS,OPEN,Gender-Neutral,14374,25823,2022,6,2
