,Unnamed: 0,Institute,Academic Program Name,Quota,Seat Type,Gender,Opening Rank,Closing Rank,Year,Round,Type
4785,4878,NIT Karnataka Surathkal,Computer Science and Engineering (4 Years Bachelor of Technology),OS,OPEN,Gender-Neutral,456,1083,2022,1,2
55586,56139,NIT Tiruchirappalli,Computer Science and Engineering (4 Years Bachelor of Technology),OS,OPEN,Gender-Neutral,241,996,2022,6,2
65133,66038,NIT Warangal,Computer Science and Engineering (4 Years Bachelor of Technology),OS,OPEN,Gender-Neutral,453,1082,2021,1,2
116095,119140,NIT Karnataka Surathkal,Computer Science and Engineering (4 Years Bachelor of Technology),OS,OPEN,Gender-Neutral,578,1002,2020,1,2
125041,128414,NIT Karnataka Surathkal,Computer Science and Engineering (4 Years Bachelor of Technology),OS,OPEN,Gender-Neutral,588,1063,2020,2,2
164861,169594,IIT Indore,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,640,1020,2019,1,1
173380,178335,IIT Indore,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,640,1020,2019,2,1
181640,186805,IIT Indore,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,640,1020,2019,3,1
189783,195157,IIT Indore,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,640,1020,2019,4,1
197887,203470,IIT Indore,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,640,1020,2019,5,1
205978,211770,IIT Indore,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,640,1047,2019,6,1
214064,220064,IIT Indore,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,640,1067,2019,7,1
223197,229368,IIT (BHU) Varanasi,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,527,903,2018,1,1
226904,233075,NIT Tiruchirappalli,Computer Science and Engineering (4 Years Bachelor of Technology),OS,OPEN,Gender-Neutral,227,913,2018,1,2
230333,236504,IIT (BHU) Varanasi,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,527,903,2018,2,1
233899,240070,NIT Tiruchirappalli,Computer Science and Engineering (4 Years Bachelor of Technology),OS,OPEN,Gender-Neutral,338,1022,2018,2,2
237257,243428,IIT (BHU) Varanasi,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,527,903,2018,3,1
240773,246944,NIT Tiruchirappalli,Computer Science and Engineering (4 Years Bachelor of Technology),OS,OPEN,Gender-Neutral,338,1022,2018,3,2
244066,250237,IIT (BHU) Varanasi,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,527,903,2018,4,1
247556,253727,NIT Tiruchirappalli,Computer Science and Engineering (4 Years Bachelor of Technology),OS,OPEN,Gender-Neutral,338,1052,2018,4,2
250830,257001,IIT (BHU) Varanasi,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,527,904,2018,5,1
254313,260484,NIT Tiruchirappalli,Computer Science and Engineering (4 Years Bachelor of Technology),OS,OPEN,Gender-Neutral,338,1067,2018,5,2
257584,263755,IIT (BHU) Varanasi,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,527,904,2018,6,1
261061,267232,NIT Tiruchirappalli,Computer Science and Engineering (4 Years Bachelor of Technology),OS,OPEN,Gender-Neutral,338,1069,2018,6,2
264325,270496,IIT (BHU) Varanasi,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,527,908,2018,7,1
